page_id,title,url,content_length,num_links,num_sections,num_references,all_categories,meta_categories,science_categories,num_categories,summary_length,avg_sentence_length,last_revision_date,num_languages,languages,rating
14273065,"2,4,6-Trichlorophenol","https://en.wikipedia.org/wiki/2,4,6-Trichlorophenol",7338,0,7,13,"['All articles with failed verification', 'Articles containing unverified chemical infoboxes', 'Articles with failed verification from February 2020', 'Articles with short description', 'Articles without InChI source', 'Chembox having GHS data', 'Chembox image size set', 'Chlorobenzene derivatives', 'Disinfectants', 'ECHA InfoCard ID from Wikidata', 'Phenols', 'Short description matches Wikidata']","['All articles with failed verification', 'Articles containing unverified chemical infoboxes', 'Articles with failed verification from February 2020', 'Articles with short description', 'Articles without InChI source', 'Chembox having GHS data', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Chlorobenzene derivatives', 'Disinfectants', 'Phenols']",12,391,19.0,2025-07-07T01:19:25Z,15,"['azb', 'cs', 'de', 'fa', 'fr', 'gl', 'hi', 'id', 'ja', 'pt', 'sh', 'sr', 'uk', 'zh']",START
23887618,2-Chlorostyrene,https://en.wikipedia.org/wiki/2-Chlorostyrene,2035,0,1,5,"['2-Chlorophenyl compounds', 'All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Organohalide stubs', 'Short description matches Wikidata', 'Vinyl compounds']","['All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description matches Wikidata']","['2-Chlorophenyl compounds', 'Organohalide stubs', 'Vinyl compounds']",14,0,0.0,2024-09-08T05:59:13Z,8,"['azb', 'de', 'fa', 'sh', 'sr', 'ta', 'zh']",STUB
24155231,"1,2-Butanediol","https://en.wikipedia.org/wiki/1,2-Butanediol",7205,0,6,14,"['Alkanediols', 'Articles containing unverified chemical infoboxes', 'Articles with changed CASNo identifier', 'Articles with short description', 'Articles without KEGG source', 'Butane', 'Chemical articles with multiple CAS registry numbers', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description is different from Wikidata', 'Substances discovered in the 19th century', 'Vicinal diols']","['Articles containing unverified chemical infoboxes', 'Articles with changed CASNo identifier', 'Articles with short description', 'Articles without KEGG source', 'Chemical articles with multiple CAS registry numbers', 'Chemical articles with multiple compound IDs', 'ECHA InfoCard ID from Wikidata', 'Multiple chemicals in an infobox that need indexing', 'Short description is different from Wikidata']","['Alkanediols', 'Butane', 'Substances discovered in the 19th century', 'Vicinal diols']",13,0,0.0,2025-09-18T19:24:39Z,20,"['azb', 'ca', 'de', 'eo', 'es', 'fa', 'fi', 'fr', 'ja', 'ko', 'ms', 'nl', 'ro', 'ru', 'sh', 'sr', 'sv', 'ta', 'zh']",START
25854081,"2,4,6-Tribromophenol","https://en.wikipedia.org/wiki/2,4,6-Tribromophenol",6074,0,5,20,"['Articles containing unverified chemical infoboxes', 'Articles with changed EBI identifier', 'Articles with short description', 'Bromoarenes', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Fungicides', 'Phenols', 'Short description matches Wikidata', 'Wikipedia articles needing clarification from August 2021']","['Articles containing unverified chemical infoboxes', 'Articles with changed EBI identifier', 'Articles with short description', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata', 'Wikipedia articles needing clarification from August 2021']","['Bromoarenes', 'Fungicides', 'Phenols']",10,0,0.0,2025-05-29T19:49:15Z,11,"['azb', 'de', 'fa', 'ja', 'ko', 'ru', 'sh', 'sr', 'ta', 'zh']",START
36193190,"1,1,3-Trichloropropene","https://en.wikipedia.org/wiki/1,1,3-Trichloropropene",1194,0,0,0,"['All articles lacking sources', 'All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles lacking sources from December 2025', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chloroalkenes', 'ECHA InfoCard ID from Wikidata', 'Organohalide stubs', 'Short description matches Wikidata']","['All articles lacking sources', 'All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles lacking sources from December 2025', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Chloroalkenes', 'Organohalide stubs']",12,0,0.0,2025-12-11T01:37:18Z,3,"['id', 'zh']",STUB
37376135,"(1R,3R)-1,2,3-Trimethylcyclopentane","https://en.wikipedia.org/wiki/(1R,3R)-1,2,3-Trimethylcyclopentane",5643,0,3,7,"['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without InChI source', 'Articles without KEGG source', 'Articles without UNII source', 'Cyclopentanes', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without InChI source', 'Articles without KEGG source', 'Articles without UNII source', 'Short description matches Wikidata']",['Cyclopentanes'],8,0,0.0,2025-07-06T00:16:03Z,1,[],START
38823347,"1,4-Dioxene","https://en.wikipedia.org/wiki/1,4-Dioxene",1261,0,1,1,"['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox image size set', 'Dioxanes', 'ECHA InfoCard ID from Wikidata', 'Ethers', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Dioxanes', 'Ethers']",9,0,0.0,2022-02-28T16:33:26Z,5,"['ja', 'sh', 'sr', 'ta']",STUB
39939949,1-Bromoadamantane,https://en.wikipedia.org/wiki/1-Bromoadamantane,2828,0,2,4,"['Adamantanes', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Organobromides', 'Short description is different from Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Short description is different from Wikidata']","['Adamantanes', 'Organobromides']",9,0,0.0,2025-12-30T01:02:23Z,7,"['eu', 'fr', 'ru', 'sh', 'sr', 'zh']",START
43367967,"2,4,5-Trimethoxypropiophenone","https://en.wikipedia.org/wiki/2,4,5-Trimethoxypropiophenone",2925,0,2,4,"['All stub articles', 'Aromatic ketones', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Articles without UNII source', 'Ether stubs', 'O-methylated phenylpropanoids', 'Short description is different from Wikidata']","['All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Articles without UNII source', 'Short description is different from Wikidata']","['Aromatic ketones', 'Ether stubs', 'O-methylated phenylpropanoids']",10,0,0.0,2025-05-31T22:11:38Z,3,"['ta', 'zh']",STUB
53767947,"2,2′,2″-Nitrilotriacetonitrile","https://en.wikipedia.org/wiki/2,2%E2%80%B2,2%E2%80%B3-Nitrilotriacetonitrile",10716,0,4,17,"['Amines', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Nitriles', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Amines', 'Nitriles']",9,0,0.0,2025-09-30T23:53:44Z,5,"['de', 'es', 'fr', 'zh']",C
58996518,(2R)-2-Methylpent-4-enoic acid,https://en.wikipedia.org/wiki/(2R)-2-Methylpent-4-enoic_acid,3011,0,3,2,"['Alkene derivatives', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without InChI source', 'Articles without KEGG source', 'Carboxylic acids', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without InChI source', 'Articles without KEGG source', 'Short description matches Wikidata']","['Alkene derivatives', 'Carboxylic acids']",8,0,0.0,2024-12-05T09:08:50Z,1,[],START
63095268,"1,6-Hexanediol diacrylate","https://en.wikipedia.org/wiki/1,6-Hexanediol_diacrylate",4030,0,5,7,"['Acrylate esters', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Monomers', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Acrylate esters', 'Monomers']",9,0,0.0,2024-03-27T14:45:06Z,3,"['de', 'zh']",START
64913219,2-(2-(4-Methyl-3-cyclohexen-1-yl)propyl)cyclopentanone,https://en.wikipedia.org/wiki/2-(2-(4-Methyl-3-cyclohexen-1-yl)propyl)cyclopentanone,4727,0,4,15,"['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'CS1 German-language sources (de)', 'Chembox having GHS data', 'Chembox image size set', 'Cyclic ketones', 'Cyclohexenes', 'ECHA InfoCard ID from Wikidata', 'Perfume ingredients', 'Restricted titles (brackets)', 'Short description is different from Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'CS1 German-language sources (de)', 'Chembox having GHS data', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Restricted titles (brackets)', 'Short description is different from Wikidata']","['Cyclic ketones', 'Cyclohexenes', 'Perfume ingredients']",13,0,0.0,2024-10-09T13:49:43Z,4,"['de', 'ja', 'zh']",START
65552334,"2,6-Dichloroquinone-4-chloroimide","https://en.wikipedia.org/wiki/2,6-Dichloroquinone-4-chloroimide",2096,0,1,2,"['All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chlorimides', 'ECHA InfoCard ID from Wikidata', 'Organic compound stubs', 'Organochlorides', 'Quinones', 'Short description matches Wikidata']","['All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Chlorimides', 'Organic compound stubs', 'Organochlorides', 'Quinones']",12,0,0.0,2023-11-30T00:20:08Z,3,"['de', 'ta']",STUB
66562107,2-Chloromethylpyridine,https://en.wikipedia.org/wiki/2-Chloromethylpyridine,3727,0,3,4,"['2-Pyridyl compounds', 'Alkylating agents', 'All articles with unsourced statements', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles with unsourced statements from August 2022', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'Chloromethyl compounds', 'Short description matches Wikidata']","['All articles with unsourced statements', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles with unsourced statements from August 2022', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'Short description matches Wikidata']","['2-Pyridyl compounds', 'Alkylating agents', 'Chloromethyl compounds']",12,0,0.0,2025-04-18T20:32:44Z,3,"['ta', 'zh']",STUB
68218695,"1,1'-Dihydroxydicyclohexyl peroxide","https://en.wikipedia.org/wiki/1,1%27-Dihydroxydicyclohexyl_peroxide",2566,0,1,2,"['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'Cyclohexanols', 'Organic peroxide explosives', 'Organic peroxides', 'Radical initiators', 'Short description matches Wikidata']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without InChI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'Short description matches Wikidata']","['Cyclohexanols', 'Organic peroxide explosives', 'Organic peroxides', 'Radical initiators']",12,0,0.0,2025-12-07T03:43:06Z,2,['ta'],STUB
70233505,"2,2',3,3',4,4'-Hexachlorobiphenyl","https://en.wikipedia.org/wiki/2,2%27,3,3%27,4,4%27-Hexachlorobiphenyl",17398,0,10,27,"['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without KEGG source', 'Biphenyls', 'Chembox having GHS data', 'Chembox image size set', 'Chlorobenzene derivatives', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata', 'Symmetrical biaryls']","['Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Biphenyls', 'Chlorobenzene derivatives', 'Symmetrical biaryls']",10,0,0.0,2025-12-09T22:19:42Z,1,[],C
70317779,2-Chloro-6-fluorobenzaldehyde,https://en.wikipedia.org/wiki/2-Chloro-6-fluorobenzaldehyde,3991,0,2,5,"['All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Benzaldehydes', 'Chembox having GHS data', 'Chembox image size set', 'Chloroarenes', 'ECHA InfoCard ID from Wikidata', 'Fluoroarenes', 'Organohalide stubs', 'Short description matches Wikidata']","['All stub articles', 'Articles containing unverified chemical infoboxes', 'Articles with short description', 'Articles without EBI source', 'Articles without KEGG source', 'Chembox having GHS data', 'Chembox image size set', 'ECHA InfoCard ID from Wikidata', 'Short description matches Wikidata']","['Benzaldehydes', 'Chloroarenes', 'Fluoroarenes', 'Organohalide stubs']",13,0,0.0,2025-07-29T06:39:26Z,3,"['ta', 'zh']",STUB
