title,page_id
2-mercaptobenzothiazole,56544502
2-propanol,362449
2-pyridone,3875201
2007 Yap Islands Zika virus outbreak,39956072
2012 phenomenon,21538638
2013–2014 Zika virus outbreaks in Oceania,49319872
2015–2016 Zika virus epidemic,68350629
2019 in climate change,66104755
2019 revision of the SI,30291341
2020 in climate change,66018134
2021 in climate change,66104473
2022 in climate change,69759774
2023 in climate change,72624020
2024 in climate change,75731161
2025 in climate change,78850121
2026 in climate change,82061433
20th parallel north,18163910
221 Eos,1524862
289 Nenetta,1525839
"3,4-diaminopyridine",9092968
3-Bromobenzaldehyde,40757020
3-Dimethylaminoacrolein,56303644
3-Fluorobenzoic acid,54295178
3-Mercaptopropionic acid,57408474
3-Methylbutanoic acid,78304520
"3-amino-1,2,4-triazole",9130897
3-aminopyridine,36558600
3-indolepropionic acid,48181284
3103 Eger,7628069
37th parallel north,3640146
3819 Robinson,16477786
3D printer,19632655
4 Vesta,47200
4-Chlorophenyl azide,37700522
4-Hydroxy-4-methylpentanoic acid,7709517
"4-Iodo-N,N-dimethylaniline",37313904
4-Ipomeanol,53474857
4-Mercapto-4-methyl-2-pentanone,55169632
4-aminobenzoic acid,1999273
4-aminopyridine,5227527
4-dimethylaminopyridine,2670215
4-fluorobenzoic acid,37711862
4-hydroxybenzaldehyde,25136511
4-hydroxybenzoic acid,3626500
4-hydroxyphenylacetic acid,39419143
4-manifold,1362795
4-methylimidazole,34347519
4-nitrophenol,10798859
45th parallel north,6332705
5-Methyl-7-methoxyisoflavone,36987452
5-methoxytryptamine,10238401
5G,23475353
5G causes coronavirus,64073187
5G conspiracies,63904138
"6-Formylindolo(3,2-b)carbazole",54959688
6-Hydroxykynurenic acid,43092077
6-benzylaminopurine,13991359
6-chloronicotinic acid,70011485
7-nitroindazole,52895330
8-aminoquinoline,8988676
8-hydroxyquinoline,10915690
8SVX,342776
9/11 conspiracy theories,1077137
A History of Architecture,72334602
A Treatise on the Analytical Dynamics of Particles and Rigid Bodies,65498511
A* search algorithm,100558
A-type star,13270957
A. aegypti,21777202
A. albopictus,46236707
AAAI Press,15544363
ABB,195678
ABC-CLIO,64511766
ABIM Foundation,10221502
AC adapter,1169469
AC power,1780823
AC power plugs and sockets,773271
AC-to-AC converter,23242689
AC/DC receiver design,19064311
ACM Computing Classification System,3192516
ADE classification,648042
ADHD,1399
ADHM construction,5165589
ADM decomposition,33706506
ADM energy,1250441
ADM formalism,3839357
AD–AS model,14425627
AD–IA model,2522966
AI,1268
AI Memo,24109330
AI accelerator,50784717
AI alignment,50785023
AI boom,73291899
AI bubble,80865550
AI control problem,69656571
AI safety,72360809
AI winter,3548574
AI-assisted software development,80362850
AI-complete,2862
AIDS,36056314
AK model,24848842
ALEPH experiment,15231502
ALGOL,1453
AMG 319,49814528
ANSI,12879036
ANSMET,1851775
AP News,18101415
ARP4761,3296101
ASCII,586
ASTM International,852442
ATLAS experiment,512256
ATP synthase,178220
Aarskog–Scott syndrome,7966521
Ab initio methods (nuclear physics),53589134
Abacus,655
Abacus (architecture),355288
Abbe number,2330
Abdomen,3191861
Abdominal,287474
Abdominal cavity,67058
Abdominal distention,3464417
Abdominal external oblique muscle,3042593
Abdominal internal oblique muscle,2762064
Abductive logic programming,12737925
Abductive reasoning,60459
Abductor pollicis brevis muscle,3042756
Abductor pollicis longus,3125705
Abductor pollicis longus muscle,3042764
Abelian extension,174448
Abelian group,2974
Abhaya Indrayan,38693771
Abiogenesis,19179706
Abiotic,10879900
Abiotic component,1665285
Ablation,529953
Ablation (artificial intelligence),65434605
Abney level,25583286
Abnormal heart rhythm,50785044
Aboiteau,26381867
Abortion–breast cancer hypothesis,1253192
Aboulia,64371258
About.com,53944351
Above ground level,38130633
Above mean sea level,38145236
Abram Hoffer,1977402
Abrams' law,34011791
Abrasion (geology),8113846
Abrasion (mechanical),25388263
Abrasive,346451
Abreaction,7338732
Abrupt climate change,2240837
Abscess,1032
Absolute advantage,1490310
Absolute dating,2851214
Absolute electrode potential,15407327
Absolute geometry,699294
Absolute humidity,223961
Absolute magnitude,1963
Absolute motion,17321466
Absolute pressure,421252
Absolute scale,25902309
Absolute value,991
Absolute zero,1418
Absorbance,480634
Absorption (biology),7970373
Absorption (chemistry),1383986
Absorption (economics),15262498
Absorption (electromagnetic radiation),1384005
Absorption (skin),8127859
Absorption line,203254
Absorption spectroscopy,364478
Abstract algebra,19616384
Abstract analytic number theory,2035764
Abstract and concrete,509995
Abstract data type,2349
Abstract harmonic analysis,1338574
Abstract machine,60492
Abstract method,170172
Abstraction,2972
Abstraction (computer science),60491
Abstraction (mathematics),454446
Abstraction (software engineering),50285534
Abulia,1021622
Abundance (chemistry),1900675
Abundance (economics),14893869
Abutment,1987765
Abyssal plain,972800
Academic clinical trials,48565532
Academic degree,167241
Academic discipline,14924067
Academic freedom,614484
Academic journal,324572
Academic library,6906424
Acanthus (ornament),3416422
Acapulcoite,37890774
Acari,217397
Acaricide,1859590
Accelerate,2998
Accelerated failure time model,15704862
Accelerated life testing,25899022
Accelerating change,1758866
Accelerating expansion of the universe,39136
Acceleration,2443
Accelerator effect,683628
Accelerometer,324949
Acceptance testing,3233
Access Consciousness,56935204
Access control,40684
Accessibility,302109
Accessory drive,34248801
Acclimation,663528
Acclimatization,400047
Accolade (architecture),53807199
Accommodation (eye),72827497
Accommodation of the eye,13856465
Accommodation reflex,1157448
Accounting software,13277642
Accreditation Board for Engineering and Technology,32154532
Accretion (astrophysics),1661177
Accretion (geology),5183852
Accretion disk,48400112
Accuracy,552077
Accuracy and precision,41932
Aceburic acid,18327125
Aceglutamide,34984373
Acetabulum,188500
Acetaldehyde,89195
Acetamide,870586
Acetaminophen,83409
Acetate,194637
Acetate ion,2596853
Acetic acid,19916594
Acetic anhydride,1406474
Acetone,1795597
Acetonitrile,64141
Aceturic acid,41475222
Acetyl,51327571
Acetyl chloride,1562440
Acetyl-CoA,190273
Acetylene,1778
Acheulean industry,3422745
Achilles tendon,380167
Achiral,522135
Achondrite,1109279
Achromatopsia,255798
Aciclovir,619594
Acid,656
Acid anhydride,41560816
Acid dissociation constant,57555
Acid mine drainage,723408
Acid rain,3263
Acid rock (geology),2987283
Acid strength,34251640
Acid-base reaction,19487240
Acidic,105990
Acids and bases,3158205
Acid–base extraction,10117078
Acid–base reaction,3038
Ackermann steering geometry,234658
Acne,74555
Acne vulgaris,18588680
Acoelomate,378793
Acorn,922939
Acoustic board,17828579
Acoustic dispersion,26157481
Acoustic droplet ejection,11591432
Acoustic wave,5786179
Acoustical engineering,299813
Acoustics,1198
Acquired immunity,6548148
Acquisition of signal,48578706
Acre,1797
Acre-foot,899474
Acronym,1052571
Acrow prop,33412199
Acrylamide,56239
Acrylonitrile,309333
Acta Psychiatr Scand,23457314
Actinide,2308
Actinide chemistry,43180070
Actinium,899
Actinium(III) oxide,31645842
Actinoform cloud,5012357
Actinoid,26598680
Actinometer,1009286
Action (philosophy),317524
Action (physics),312881
Action language,31976793
Action model learning,43808044
Action potential,156998
Action selection,5033373
Activated complex,607577
Activated sludge,1411188
Activated sludge model,26179180
Activation energy,38413
Activation function,14179835
Active cooling,894921
Active galactic nucleus,177092
Active galaxy,6248853
Active management,1645570
Active power filter,54443743
Active rectification,18634614
Active transport,144602
Active volcano,1281789
Activities of daily living,236137
Actual mechanical advantage,420349
Actual yield,54220041
Actuarial science,189373
Actuator,293079
Actuator disk,23828621
Actuators,1288808
Acupressure,42353
Acupuncture,1537
Acupuncture point,653096
Acupuncture points,2010999
Acupuncturist,583412
Acute (medicine),16453539
Acute angle,535820
AdS/CFT correspondence,644443
Adalbert Bezzenberger,13816603
Adam Smith,1814
Adam's apple,381794
Adaptable robotics,10474989
Adaptation,942048
Adaptive algorithm,8286430
Adaptive capacity,7343746
Adaptive clinical trial,41544475
Adaptive control,2020708
Adaptive expectations,3205
Adaptive immune system,1664060
Adaptive neuro fuzzy inference system,31663887
Adaptive radiation,1909
Addiction,27158894
Addiction medicine,5876148
Addiction psychiatry,28734159
Addison's disease,338699
Addison-Wesley,1180080
"Addison-Wesley Publishing Company, Inc.",24506537
Addison–Wesley,31362276
Addition,61338
Addition reaction,369482
Additionality,18729692
Additive combinatorics,18243392
Additive inverse,228312
Additive number theory,4460333
Additive white Gaussian noise,202097
Address space,507144
Adduct,4499573
Adductor hiatus,8932065
Adductor magnus,3043415
Adenine,38571
Adenoids,494255
Adenoma,489794
Adenosine,89108
Adenosine diphosphate,89226
Adenosine triphosphate,1800
Adenosylcobalamin,10969009
Adhesion,835157
Adiabat,8830411
Adiabatic approximation,2029477
Adiabatic compression,11709109
Adiabatic cooling,101290
Adiabatic heating,1346515
Adiabatic lapse rate,1014508
Adiabatic process,1419
Adiabatic wall,35470585
Adipic acid,1226674
Adjacency matrix,244463
Adjarian's law,44257940
Adjective,37512
Adjoint equation,21795970
Adjoint of an operator,644042
Adjunction (field theory),4867023
Adjustable-speed drive,65169452
Adjuvant,1105073
Admissible decision rule,1776726
Admissible heuristic,11338826
Admittance,296428
Adobe Firefly,74124313
Adolescent medicine,6189822
Adolf Fick,1144513
Adolf Holtzmann,2099970
Adrenal fatigue,2941992
Adrenal gland,2296
Adrenal glands,746529
Adrenal insufficiency,548913
Adrenaline,15548640
Adrenorphin,28584333
Adsorption,207601
Advanced Space Vision System,714203
Advanced tongue root,17765491
Advanced z-transform,1312654
Advection,166377
Adversarial machine learning,45049676
Adversary (cryptography),789126
Adverse drug reaction,1274833
Adverse effect,1474961
Adverse event,2234553
Adverse reaction,14885471
Adverse selection,309452
Advertising elasticity of demand,26221003
Advice Taker,8993306
Advocacy group,26561880
Aedes,348230
Aeolian sound,38633248
Aeolic Greek,429475
Aeration,5315016
Aerial archaeology,615752
Aerial photography,326279
Aerial root,909402
Aerial seeding,3025646
Aeroacoustics,2518272
Aerobic digestion,11961883
Aerobic organism,92635
Aerobic respiration,517297
Aerobiology,81212
Aerobot,48814
Aerobraking,140289
Aerocapture,2108685
Aerodynamic,176874
Aerodynamic drag,11603504
Aerodynamic force,3100319
Aerodynamics,2819
Aeroelasticity,75047
Aerofoil,290055
Aeronautical chart,6540618
Aeronautics,2082
Aeronomy,2138223
Aeroponics,1044136
Aerosol,57763
Aerosols,1251983
Aerospace,154711
Aerospace architecture,3424781
Aerospace bearing,18728089
Aerospace engineering,21732545
Aerospace materials,29637793
Aerospike engine,152552
Aerostat,704287
Aerostats,4101277
Aerostructure,8203113
Aesthetics,2130
Aetna,78343
Affect (psychology),3471186
Affective computing,233942
Afferent nerve fiber,563403
Affine differential geometry,14222703
Affine geometry,243890
Affine geometry of curves,15967139
Affine transformation,38449
Affinity laws,2889394
Affirmations (New Age),19321167
Affirmative prayer,15847948
Affluenza,795050
Afforestation,1968338
Affrication,2268220
Afocal system,26174362
Afroasiatic languages,599
Aft-crossing trajectory,2177591
Afterimage,495153
Aftershock,233529
Age appropriateness,12770646
Age of Enlightenment,30758
Age regression in therapy,12974527
Agency (law),28126601
Agency (philosophy),716672
Agent (economics),3736752
Agent architecture,4510677
Agent-based computational economics,10941831
Agent-based model,985619
Ageostrophy,16296529
Agflation,16863697
Agglomerate,1711396
Aggregat (rocket family),67985104
Aggregate (composite),1545928
Aggregate (geology),53575775
Aggregate demand,353023
Aggregate function,6314748
Aggregate supply,661103
Aggregation problem,8529463
Agile software development,639009
Aging,24131023
Agitator (device),3073029
Agnatha,189055
Agnosia,169509
Agnostic,54359
Agrarian system,18506917
Agrarianism,1193
Agribusiness,1356031
Agricultural aircraft,825931
Agricultural chemistry,5111982
Agricultural cooperative,2330138
Agricultural cycle,3240142
Agricultural economics,733141
Agricultural engineering,22395556
Agricultural extension,1464343
Agricultural fencing,241376
Agricultural geography,41800775
Agricultural land,18471728
Agricultural machinery,23672379
Agricultural policy,171865
Agricultural productivity,186712
Agricultural recession,24739031
Agricultural robot,11005995
Agricultural science,572
Agricultural soil science,4631496
Agriculture,627
Agriculturist,4478799
Agritourism,45847
Agrivoltaics,48680511
Agrobiology,29349052
Agroecology,216211
Agroecosystem,216861
Agroforestry,1488463
Agrology,1113929
Agronomy,186725
Agrostology,2247377
Ahlfors theory,34351523
Aidan Gomez,75216979
Aileron,74634
Air,4039286
Air Force Research Laboratory,764257
Air Transport Association,33925200
Air barrier,12877784
Air compressor,233195
Air conditioner,2771
Air conditioning,7221088
Air cooling,621008
Air current,2906879
Air data computer,2097814
Air handler,2369672
Air mass,261690
Air mass (solar energy),16983961
Air pollution,10934212
Air preheater,2704841
Air pressure,183234
Air source heat pump,6453717
Air temperature,6300876
Air traffic controller,242294
Air-augmented rocket,153209
Air-mass thunderstorm,10958349
Airborne observatory,23612494
Aircraft,849
Aircraft attitude,352729
Aircraft cabin,10222264
Aircraft engine,158681
Aircraft engine controls,384728
Aircraft flight control system,703058
Aircraft flight control systems,24555367
Aircraft flight mechanics,1553856
Aircraft principal axes,9023486
Aircrew,1001906
Airflow,34545370
Airfoil,290053
Airlock,294387
Airplane,1396249
Airship,58005
Airships,575811
Airspeed,570172
Airspeed indicator,315949
Airway obstruction,3290115
Airy disc,16113811
Aisle,297058
Akaike information criterion,690512
Akathisia,211273
Alan Cobham,663926
Alan Deardorff,6909928
Alan Greenspan,161947
Alan Mackworth,5906926
Alan Nussbaum,40145583
Alan Turing,1208
Alanine,63539
Alaska,624
Albanian dialects,23434659
Albanian language,18940550
Albedo,39
Albedo feature,825996
Albert Abrams,48657
Albert Einstein,736
Alberta clipper,1301275
Albite,1023378
Alcazar (disambiguation),22065965
Alchemy,573
Alchian–Allen effect,8302089
Alcohol (chemistry),1014
Alcohol (drug),43173137
Alcohol addiction,624975
Aldehyde,37329
Aldosterone,375130
Aleksey Shakhmatov,3773108
Alemannic German,423506
Alessandro Volta,1923
Aleurone,3106080
Alex Graves (computer scientist),50568903
Alex Krizhevsky,64648780
AlexNet,52801963
Alexander Grothendieck,2042
Alexander Lubotsky,63695604
Alexander Technique,79655334
Alexithymia,644646
Alfalfa,66159
Alfred A. Tomatis,81784813
Alfred Aho,140930
Alfred Marshall,46762
Alfred Senn,16280577
Alfvén speed,69662290
Alfvén surface,71420582
Alga,21418333
Algaculture,4174517
Algae,633
Algal bloom,47473
Algebra,18716923
Algebra of random variables,1217120
Algebra over a field,191788
Algebraic K-theory,598500
Algebraic analysis,20846707
Algebraic combinatorics,14835582
Algebraic computation,9604588
Algebraic data type,283867
Algebraic differential equation,9501827
Algebraic equation,404001
Algebraic fundamental group,5906740
Algebraic geometry,1997
Algebraic graph theory,1620216
Algebraic number theory,174705
Algebraic statistics,17314682
Algebraic structure,106364
Algebraic topology,38801
Algebraic varieties,679354
Algebraic variety,248808
Algimantas,31560246
Algirdas,1175523
Algonquian sound laws,48534262
Algorithm,775
Algorithm design,10433312
Algorithm design paradigm,51412098
Algorithm efficiency,28660110
Algorithmic efficiency,145128
Algorithmic information theory,2829647
Algorithmic number theory,826795
Algorithmic paradigm,51411922
Algorithmic probability,402688
Algorithms,37793620
Alice in Wonderland syndrome,188521
Alidade,462030
Alien species,1003868
Alimentary canal,210614
Aliphatic,291172
Aliphatic compound,2120
Alkali metal,666
Alkaline,46796
Alkaline earth metal,37411
Alkane,639
Alkane metathesis,2093589
Alkane stereochemistry,1627859
Alkene,2761
Alkoxy,2038146
Alkyl group,291166
Alkyne,2763
Alkyne metathesis,1991387
All models are wrong,44732699
Allais paradox,3223960
Allan Hills,8924093
Allan Hills 84001,183691
Allele,1911
Allelopathic,4570787
Allen Lane,3229873
Allen Newell,287300
Allen Pearson,6381854
Allende meteorite,15318146
Allergen,58859
Allergic asthma,7814804
Allergic conjunctivitis,1342401
Allergic rhinitis,412753
Allergy,55313
Allied health professions,82046733
Allixin,30892813
Allocation of resources,3029813
Allocative efficiency,478097
Allochthon,1374870
Allomer,9539776
Allophone,1834
Allopurinol,254790
Allosteric regulation,106256
Allotrope,669
Allowance (engineering),17464907
Alloy,1187
Alloys,2419
Alluvial fan,246018
Alluvial plain,914159
Alluvial soil,2044701
Alluvium,183243
Allylglycine,20174546
Almanac,192230
Almost surely,351908
Alogia,295833
Alpha,929
Alpha (letter),26414600
Alpha and beta male,53814610
Alpha decay,1267
Alpha particle,21787470
Alpha-Endorphin,43389169
Alpha-amylase,74260060
Alpha-keratin,53192816
AlphaFold,59766171
AlphaGo,49242352
AlphaGo Lee,54202798
AlphaGo Master,55572324
AlphaGo Zero,55572262
AlphaGo versus Lee Sedol,49693402
AlphaZero,55981499
Alphabet,670
Alphabet (computer science),46873404
Alphabet Inc.,47489893
Alpha–beta transformation,20561282
Alpide belt,2999955
Alprazolam,243513
Alps,981
Altar,68640
Altar crucifix,17737966
Alternating current,42986
Alternative cancer treatments,6600576
Alternative fuels,1048250
Alternative hypothesis,645892
Alternative medicine,1845
Alternative minimum tax,28730849
Alternator,223352
Alternator synchronization,9282491
Altimeter,47476
Altitude,59211
Altitude compensating nozzle,18970691
Altocumulus,2999219
Altocumulus castellanus,2998200
Altostratus,2998223
Altricial,58256537
Aluminium,904
Aluminium carbide,5489512
Aluminium carbonate,26229844
Aluminium chloride,1362114
Aluminium fluoride,5021571
Aluminium hydride,6042277
Aluminium hydroxide,193294
Aluminium iodide,5021791
Aluminium monobromide,49104078
Aluminium monochloride,17278619
Aluminium monofluoride,3269773
Aluminium monoiodide,33730996
Aluminium monophosphide,19732699
Aluminium monoxide,6001853
Aluminium nitrate,3809994
Aluminium nitride,1159331
Aluminium oxide,141888
Aluminium phosphate,5022681
Aluminium silicate,4541160
Aluminium smelting,12561401
Aluminium sulfide,5022827
Aluminium sulphate,20376381
Aluminium tribromide,5631414
Aluminium trichloride,5181776
Aluminium trifluoride,22136044
Aluminium triiodide,5634113
Alvin E. Roth,18166140
Alvydas,37685735
Alwin Kloekhorst,23149870
Alzheimer's disease,18914017
Am star,18866258
Amalgam (chemistry),19074264
Amaranth,1542
Amartya Sen,51335
Amateur astronomy,748
Amateur chemistry,18504176
Amazing Stories,255474
Amazon Robotics,22469488
Amber,1372
Ambident,55333032
Ambient intelligence,2370788
Ambiguity aversion,4751128
Amenomania,56661462
"American Academy of Allergy, Asthma, and Immunology",8050391
American Academy of Child and Adolescent Psychiatry,31293932
American Academy of Clinical Toxicology,22500826
American Academy of Ophthalmology,4853317
American Board of Psychiatry and Neurology,4307022
American Cancer Society,522681
American Chemical Society,428508
American College of Medical Toxicology,14176766
American Cordillera,1256241
American Dental Association,545838
American English,1890
American Geophysical Union,794329
American Institute for Economic Research,9199394
American Institute of Architects,500492
American Institute of Electrical Engineers,1206765
American Medical Association,282197
American Meteorological Society,890012
American National Standards Institute,659
American Neuropsychiatric Association,35367823
American Psychiatric Association,160911
American Psychological Association,42042
American School (economics),376996
American Scientist,4386419
American Society of Mechanical Engineers,633969
American Standard Code for Information Interchange,15039857
American Thyroid Association,30643975
American and British English spelling differences,2053693
American bison,49725
American colonial architecture,1532886
Amesite,28880399
Amide,1422
Amidorphin,28585000
Amiga,1980
Amihan,23496561
Amine,1412
Amino acid,1207
Amino acids,218688
Aminoacetonitrile,28893297
Aminocaproic acid,2875860
Aminomethylbenzoic acid,12894423
Aminothiazole,72451602
Ammeter,2866
Ammonia,1365
Ammonia borane,4329882
Ammoniacal,3133320
Ammonium,69079
Ammonium acetate,3167641
Ammonium bromide,2087966
Ammonium carbamate,37307647
Ammonium carbonate,1156934
Ammonium cerium(IV) nitrate,9720285
Ammonium chloride,293336
Ammonium chromate,31763367
Ammonium dihydrogen arsenate,78281575
Ammonium formate,12618411
Ammonium hexachloroplatinate(IV),79433201
Ammonium hydrosulfide,2088217
Ammonium hydroxide,53356584
Ammonium nitrate,96590
Ammonium nitride,38549976
Ammonium perchlorate,56637
Ammonium phosphate,2088157
Ammonium sulfate,1536137
Amnesia,21347303
Amoroso–Robinson relation,25139025
Amorphous,2888
Amorphous metal transformer,9723668
Amorphous solid,2889
Amosite,506598
Amount of substance,759264
Ampacity,2099596
Ampere,772
Amphibian,621
Amphibious aircraft,326777
Amphibole,59243
Amphibolite,305413
Amphidromic point,336138
Amphipathic,473772
Amphitheatre,54061
Amphoteric,3173188
Amphoterism,161293
Amphoterite,2943368
Amplidyne,8032763
Amplifier,9931
Amplitude,37649
Amplitude modulation,1140
Ampère's circuital law,199304
Ampère's force law,15868921
Ampère's law,11807783
Amsler grid,1501131
Amsterdam,844
Amygdalin,3252
Amygdule,466744
"An Encyclopedia of Claims, Frauds, and Hoaxes of the Occult and Supernatural",9987647
Anabatic wind,455177
Anabelian geometry,27119265
Anaerobic digestion,1545608
Anaerobic organism,92640
Anaerobic respiration,435420
Anal canal,1867079
Anal triangle,6995304
Anal verge,8021329
Analemma,82379
Analog circuit,97840
Analog filter,5624439
Analog signal,993
Analog signal processing,405746
Analog-to-digital converter,40367
Analogous,141870
Analysis,1134
Analysis of algorithms,2230
Analysis of clinical trials,17410813
Analysis of covariance,404926
Analysis of variance,634
Analyte,1711318
Analytic combinatorics,75060288
Analytic function,61478
Analytic geometry,2202
Analytic number theory,251513
Analytical chemistry,2408
Analytical dynamics,19411913
Analytical mechanics,454450
Analytics,487132
Anaphylaxis,74240
Anaptyxis,2261067
Anatexis,3176179
Anatolian hypothesis,5758239
Anatolian languages,102328
Anatomical,628459
Anatomical pathology,63563
Anatomical position,233216
Anatomical snuff box,45025845
Anatomical terminology,41101954
Anatomical terms of location,168041
Anatomical terms of motion,4057221
Anatomical terms of muscle,41491826
Anatomy,674
Ancestor,524568
Anchored Cross,65476386
Ancient Egypt,874
Ancient Greece,66540
Ancient Greek,148363
Ancient Greek accent,28897542
Ancient Greek astronomy,4385475
Ancient Greek language,371500
Ancient India,73722316
Ancient Roman army,39168772
Ancient astronauts,301719
Ancient economic thought,13280365
Ancient forest,1867189
Ancient history,51320
Andalusite,174850
Anderson–Darling test,3479881
Andesite,285239
Andreas Willi,66846773
Andrei of Polotsk,17035079
Andrej Karpathy,58107648
Andrew Garrett (linguist),23140187
Andrew Ng,25277512
Andrew Sihler,1478593
Andrew Taylor Still,701187
Andrew Wakefield,19990546
Andrimid,70966696
Androgen,236666
Android (robot),713
Andrology,294656
Andromeda Galaxy,74331
Androstenediol,3889879
Androstenedione,467035
André Neveu,31664849
André-Marie Ampère,1363
Anecdotal,1298290
Anecdotal evidence,481925
Anemometer,2994
Aneroid barometer,405747
Anesthesiology,417068
Anethole,1584829
Angewandte Chemie International Edition in English,7092996
Angina,65862
Angiology,2374165
Angle,1196
Angle of attack,232102
Angle of incidence (aerodynamics),48934114
Angle of incidence (optics),48934192
Angle of reflection,1253785
Angle of repose,518397
Angle of rotation,29780709
Anglo-Saxon model,1959630
Angrite,19743970
Angstrom,25739045
Angular acceleration,65929
Angular displacement,65926
Angular frequency,199829
Angular mil,50655720
Angular momentum,2839
Angular momentum operator,3797203
Angular resolution,230428
Angular separation,5671465
Angular speed,763228
Angular unconformity,1747900
Angular unit,47434936
Angular velocity,65927
Anhedonia,270792
Anhydrous,268397
Animal,11039790
Animal breeding,3734085
Animal cognition,425938
Animal engine,2590921
Animal geographies,43828252
Animal husbandry,219640
Animal locomotion,1132756
Animal magnetism,41757248
Animal model,63774632
Animal power,4335885
Animal slaughter,9585510
Animal study,14418573
Animal testing,175596
Animal testing on non-human primates,8010519
Animal unit,23589515
Animal-free agriculture,22661773
Animalia,4181628
Animals,3857798
Animatronics,438275
Anion,59725
Anisotropic,186629
Ankh,245791
Ankle,336880
Anma,3307512
Annalen der Physik,993227
Annalen der Physik und Chemie,5921798
Annealing (metallurgy),68465489
Annelida,43116727
Annihilation,346133
Annual effective discount rate,18862077
Annual plant,777
Annular tropical cyclone,2563102
Annulation,7990093
Annulet (architecture),3720388
Annulus of Zinn,69761120
Anode,2392
Anomer,760606
Anorthite,189556
Anosognosia,551340
Anoxic event,1632974
Answer set programming,2386211
Ant colony optimization,31753655
Anta (architecture),2407422
Antal van den Bosch,53095145
Antanas Pakerys,81086860
Antarctic,2926
Antarctic Circle,40036138
Antarctic bottom water,4340750
Antarctic oscillation,1277885
Antarctica,18959138
Antares,3076
Ante-choir,2697806
Antecedent (logic),804755
Antecedent stream,34809966
Antenna (radio),187317
Antenna tuner,582127
Anterior,168045
Anterior compartment of the leg,5337450
Anterior nasal spine,4885668
Anterior tibial artery,2324593
Anthracene,287668
Anthropization,20871763
Anthropocene,374390
Anthropogenic climate change,342829
Anthropogenic global warming,917456
Anthropogeny,15161664
Anthropology,569
Anthropomorphic,171015
Anthroposophic medicine,3552463
Anthroposophy,2493
Anti-competitive,19996643
Anti-de Sitter space,301670
Anti-gravity,342127
Anti-greenhouse effect,3625464
Anti-psychiatry,39445
Anti-rival good,7923922
Anti-symmetrization,39862328
Antibiotic,1805
Antibiotic prophylaxis,2906945
Antibodies,168948
Antibody,2362
Anticline,1345538
Anticyclogenesis,7762392
Anticyclone,236717
Anticyclonic rotation,5811768
Anticyclonic storm,1396650
Anticyclonic tornado,2710640
Antiderivative,2823
Antifreeze,562839
Antigen,1915
Antihelminthic,357936
Antimatter,1317
Antimatter rocket,37854
Antimeridian,23851171
Antimicrobial,965323
Antimony,898
Antimony oxysulfide,81372378
Antimony pentafluoride,3276019
Antimony trifluoride,5886405
Antimony(III) bromide,30133043
Antimony(III) chloride,27599664
Antimony(III) oxide,2244338
Antimony(III) phosphate,76921608
Antimony(III) selenide,27599689
Antimony(III) sulfide,1594704
Antimony(III) telluride,27206536
Antimony(V) chloride,19754828
Antimony(V) oxide,19754832
Antineutron,938631
Antioxidants,446743
Antiparticle,1327
Antipodes,470457
Antiproton,87872
Antipsychotic,2870
Antiquarian,149685
Antiquark,1245182
Antiquarks,8996210
Antiquities,1431051
Antoine Augustin Cournot,1079244
Antoine Meillet,797350
Anton Zeilinger,918635
Anton syndrome,21554256
Anton-Babinski syndrome,25731033
